Pattern String,Pattern Type
 We didn't have electricity growing up. Explains a lot. Lol.,safe
 Does not having had electricity help you empathize more with people of differing backgrounds and/or makes you feel a bit a distance from those who don't understand?,safe
 It makes it easier to empathise with people who grew up lacking things. Not sure it makes me empathise with people in general. Where did you grow up?,safe
" I grew up in the United States, but my parents were immigrants and ended up being scammed of all their money, so we moved to Taiwan to live with family for a little bit.",safe
 ALL THEIR MONEY? By a person or an organisation?,safe
 Hi!,safe
 Hello!,safe
 Do you have any holiday plans for christmas?,safe
" Nothing much, I am going to sit back and relax at home, how about you ?",safe
 Same here! I would imagine spending the whole time watching movies and netflix shows. Do you have any netflix recommendations for me?,safe
" Netflix has great documentaries on different topics , I particularly liked wild wild country and explained, as for shows you should watch 'billions' Hope you like them!",safe
" oh right, already seen wild wild country. What is billions about?",safe
" It's based on the life of a wall street hedge fund owner, how he makes money and fights with the government when they try to destroy him. Very well made and has a good plot.",safe
 I have just seen 1 season of Friends I should give it another try though ?? Have you seen Frasier?,safe
 Not yet What's it about?,safe
 A psychiatrist working for radio .. Great humour! its actually a spinoff from a very famous series called cheers. So people are already familiar with his character. ,safe
 Great! how is everything else going? how was your trip last week?,safe
" Everything is ok, had a really nice trip. Visited SF, Grand canyon and Vegas. Was a lot of fun exploring all these new places. Have you been to Grand canyon ? ",safe
 Actually not yet! May be something i can visit this christmas ??,safe
" You should visit it sometime, it's a wonderful place. Try to drive down there yourself or with a group of friends",safe
" True! Well, thanks for your inputs! Have a good rest of the day! :)",safe
 Nice talking to you too!,safe
 Hi!,safe
 Hi there!,safe
 are you participating in the mentorship program this cycle?,safe
 You mean as a mentor or a mentee?,safe
 either of them... I find mentorship overall pretty useful,safe
 I have done it in the past but not this cycle. What about you?,safe
 I signed up this time to be a mentee. I have got a good mentor .,safe
" Wow, that is nice of you. For the mentor program, personally I prefer more 1:1 conversations than the group discussions. The group discussion i useful as well but the topics are too general.",safe
" yeah... I certainly prefer 1:1 as well, but sometimes it good to hear other peer perspective as well.",safe
 Thanks for sharing your experience! Now I am thinking maybe I should join as a mentor as well since I enjoyed it as a mentee ??,safe
 Great! What sort of things do you plan to mentor on?,safe
" Hmm, maybe about work life balance ??",safe
 Very cool. I have been working on my communication skills with my mentor this cycle,safe
 Ah I see. How is it going?,safe
" Going good. In the last session, everyone had to actually prepare and give a presentation. Pretty serious stuff ??",safe
 Hi!,safe
 Hey! How are you feeling today?,safe
 Good you?,safe
 I'm a little scared because I have to cook dinner for some friends tonight.,safe
 where did you meet them?,safe
" At college, when we were all studying geology.",safe
 cool. have you graduated already?,safe
" Yes, we graduated back in the seventies. We meet for dinner every year and take turns to host.",safe
 neat. what are y'all eating?,safe
 I don't know!! That's what I'm scared about. Everyone else is a great cook and I'm a klutz. Do you like cooking?,safe
" lol what's a klutz? yeah I like, but I'm not good",safe
 What's your favorite dish to cook? Do you have a go-to?,safe
 ground beef pretty easy,safe
" Ah, solid. What's your favorite sport?",safe
 I like badminton. I'm quite decent at it,safe
" I played that in high school once or twice. I liked that it's pretty easy for beginners, unlike, say, squash.",safe
 I never played squash. would love to try,safe
 Don't! It's very hard! You feel like an idiot until you've practiced for months and months.,safe
 hi,safe
 i was talking to robot all the time:),safe
 haha. what are you talking about?,safe
 kpop...,safe
 ok. who's your favorite group,safe
 i dont like kpop now,safe
 why not?,safe
 im old now,safe
 hahaha,safe
 what do you like now?,safe
 john mayer:)\,safe
 I think I know him. does he have a sort of mellow style?,safe
 what is mellow style,safe
 I think it's like a bit sad and slow,safe
 umm yes he has some but not all,safe
 you mean some songs of his are like that but not all?,safe
 yes I do. you act like a robot how about me? am I like a robot?,safe
 a little bit haha,safe
 Hi!,safe
 Hi,safe
 Okay...so I need someone to help me though a scenario I've been pondering.,safe
" Sure, whats the scenario?",safe
 True about that! I also think time helps to heal certain situations. So may be doing nothing is the best way forward.,safe
 AKA avoiding all texts from everyone?,safe
" Nope, that would be extreme. May be just putting some balance between the two options.",safe
 People always say to find a balance but never say what the balance is. It's used so often that it's vacuous.,safe
 Lol. I'm finna be single.,safe
" Hehe, everyone is much finer being single ??",safe
 Hi!,safe
 Hello there!,safe
 How's your day going?,safe
" I've seen better days, how about you?",safe
 I'm good I'm good. What's getting you down?,safe
" The clouds overhead are playing on your mind, any plans for the coming vacations?",safe
 I'm thinking of going to visit my family. How about you?,safe
" Was thinking the same, where does your family live?",safe
 They're in New York. How about yours?,safe
" Mine is in India, it is a long way away.",safe
 Ahh what city? I've visited India before.,safe
" Hyderabad, it is a beautiful city in the southern part of India. Which cities have you gone to in India?",safe
 Hyderabad! and Bangalore! Great food in both cities! Is it still hot this time of year?,safe
" It varies, but can go till 30C in the winters as well. New York must be snowing right?",safe
 Yes. I was actually just there a few weeks ago for Thanksgiving and got to see the first snow of the season! Ever been to New York?,safe
" No, I've never been to the East Coast, thinking of going after the winter, I don't like the cold.",safe
 Hi!,safe
" Hey, how are you?",safe
 I'm good. How are you doing today?,safe
" Great, just had some delicious lunch. How about you?",safe
 I was flying my kite today in the sunshine! What did you have for lunch?,safe
 nice! Garbanzo fritters and mussels ??,safe
 Oh that is great! I love seafood - especially shellfish!,safe
" yeah, it's very healthy too. I want to someday go crabbing..it is really popular in SF",safe
 Oh nice! Is it hard?,safe
" Oh wow, you sound like an expert! Have you done this before?",safe
 nah! Just watched a lot of youtube videos,safe
" haha, you really have done your research I suppose! Ever done any other kind of fishing or hunting?",safe
" nope, but I've seen a lot of videos on that too",safe
" Ahh, would you consider yourself an outdoorsy type of person?",safe
" depends on the day. Some days I'm very outdoorsy, on others I just like to be inside",safe
 Hi!,safe
 Hi there,safe
 How's your day going?,safe
" So far so good. It is Wednesday. To more days, yeah",safe
 Haha are you looking forward to the weekend?,safe
" Yeah, gonna watch <REDACTED_TERM> with my friends. First time. So excited.",safe
 Oh wow! Are you going to watch it live? Or watch it on TV?,safe
 Live in san jose This Saturday.,safe
" Oh, the sharks??? Hokey is actually really fun live! Although, it can be a little violent.. haha",safe
" Yeah! That what I heard as well. There are players just for fight! Wow, must be fun to watch lol Are you planning anything for the weekend?",safe
 You might like the UFC haha. I actually have a jiu jitsu tournament coming up so this weekend I will be training!,safe
" lol I will try if I can watch ufc live ?? Wow, when did you start jiu jitsu?",safe
" It's just been a little over a year. I'm still pretty amateur, but I figured I should give competing a try and just put myself out there.",safe
" wow, that's amazing. Good luck with it!",safe
" Yeah, as long as I do not pass out, I will consider that a win!",safe
 lol I will cross my fingers for you then,safe
 Where do you stay?,safe
 At Home :),safe
 Who created You?,safe
 A humble man made me!,safe
 Hi!,safe
" Hey, how're you doing? Busy with your work?",safe
" Yes, actually it was a very busy day! How's your day so far?",safe
" Well, usual workday. Reading others' code, debugging, experimentingÖ",safe
 Hope you are having fun doing that ?? Any plans for the weekend?,safe
 Not yet. I am actually thinking about traveling to Europe next spring. What about you?,safe
 Europe sounds fun! I will just stay home and watch the game. Where in europe do you plan to visit?,safe
" I like all the historical sites, so probably France, Germany, or Italy.",safe
  Sounds great! I recommend spain. It's perfect for road trips.,safe
" I also need to pick up my Spanish. I learned it in my college, but since then haven't used it that much.",safe
"  Yep, i tried learning spanish too, but couldn't make much progress. But i should do decent with my german.",safe
 True! I learnt it from school. But didn't get much chance to speak. Hope you have fun with your trip!,safe
  Thanks! Let me try to make all the arrangement as soon as possible. Hope you also enjoy your weekday and weekend as well,safe
 Hi!,safe
 Hey! How's your day been?,safe
 It's good! I spent most of it watching horse racing. How about yourself?,safe
" nice! what's your favorite part about watching horse racing? My day has been pretty busy, but I had a nice lunch with a friend. It was good to catchup with him",safe
" I actually like to put down some money, but I wouldn't call it my favorite part, since I usually lose it... haha. Catching up with friends is great! How long had it been?",safe
" The last I saw him was a month ago! So yup it was great Haha, nice ?? Got any fun plans for the weekend?",safe
 I'm thinking of going deep sea fishing. Ever tried that before?,safe
" Nope I haven't, have you been fishing before?",safe
 Just once! I got super sea sick.. haha Have any fun weekend plans yourself?,safe
" Haha ?? Yeah I get sea sick on boats too Nothing much, just visiting some friends in San Francisco",safe
 Oh very cool. I hear its nice over there. Do you go often?,safe
 Yeah I would say maybe every couple weeks or so what are your favorite cities to visit?,safe
" New York is the top of my list because my family lives there! As far as the city itself though... I think I'd prefer someplace outside of the US, like Tokyo. What about you?",safe
" nice! I love NYC ?? so fun to visit yeah I would probably also say New York is my favorite city inside the US I also like Paris, it's so pretty there",safe
" Oh I've never been! It is such an iconic place, I have to make the time to get there soon.",safe
" You should, it's a beautiful city!",safe
 Hi!,safe
" Hello, how are you doing today?",safe
 I heard they are giving out some goodies in microkitchen.,safe
 I love pop ups! What kind of goodies are they giving away?,safe
 I guess its a jacket! Very much needed that in the cold ??,safe
" That's such a great idea, especially at this time of the year. I'm not too big a fan of the cold. I prefer warmer climates. Do you enjoy the cold?",safe
 Sure hate it! Limits our ability to go out even for a walk! Its good that we don't get to suffer extreme cold weather!,safe
 Me too! I moved here a few years ago to get out of the extreme cold. I do not care for bundling up and having to wear so many layers just to go buy eggs at the store.,safe
 Oh nice! Where did you live before?,safe
 Upstate New York. We got a foot of snow every week during my last winter there. I am so glad to not have to shovel snow now,safe
" New york! Nice! Best place to live ?? .. right, except for the cold!",safe
" Very beautiful during all the seasons but yes, summer and winter can get extreme!",safe
" Anyways, i guess we should better hurry up to get the goodies. I remember last time they ran out of it.",safe
 Very true. Which MK were they in again?,safe
 The one in our floor. I will get by your desk and we can walk there.,safe
" Sounds good, thanks!",safe
 Hi!,safe
 How's your day going?,safe
" Pretty busy, lots of work to finish up. You?",safe
 Likewise. What have you been up to that gives you so much work?,safe
 A couple projects that I am trying to finish up before Thanksgiving ?? Do you have any fun plans for the break?,safe
 What is a break? I'm a grad student. I don't understand the concept of a break. Just kidding. I don't have any plan. Probably just going to work through the break.,safe
 Haha XD so what do you like to do for fun?,safe
 I go to the gym and run until I find enough fun.,safe
" cool! I've started to run a bit as well not long distances though, just a couple miles",safe
" A couple of miles is very impressive. When I started, I couldn't even last 1 mile.",safe
 haha,safe
 I'm exhausted by the end of it though ?? Do you like to run long distances or mostly sprints?,safe
 I like to do long distances. I have run a few marathons.,safe
 wow! that's amazing did you do any marathons this year?,safe
" No. Not this year. This is my half-marathon year. Instead of running marathons, I run one half-marathon every month.",safe
" oh wow, what was the last half marathon you did?",safe
 Two days ago. It was a tough one.,safe
 Cool!,safe
 Hi!,safe
" hello there, how is it going?",safe
 Pretty great. I just won a pingpong game. What about you?,safe
 that's nice. I am just working on some documentation. Do you play pingpong often?,safe
" No, very rarely. It's kind of amazing that I won, but I'm still taking credit for it.",safe
" thats very impressive then, congrats!",safe
" Haha thank you, I guess I'm just a natural. What's your favourite game?",safe
" I really like to play tennis, badminton and racquetball. I don't really get a chance to play them often though, specially racquetball",safe
" What's racquetball like? From context clues, I'm guessing that it involves hitting a ball with a racquet",safe
 Wow! A cage match! Does it get physical?,safe
" That sounds fun. I think of tennis itself as being really athletic and tiring, so I don't think it's a sport for me, though!",safe
 ping pong can get quite intensive too! I guess short ping pong sessions are not that tiring though. Wanna have a match?,safe
" What a good idea, I'd love to!",safe
 Show me your anger!!!!,safe
 Fuckkkkkkk!!!!,safe
 Hi!,safe
 hi,safe
 what are you up to?,safe
 code refactoring. you?,safe
 me? just chilling out at work. what is code refactoring?,safe
 good question. I don't even know what I am doing,safe
" haha, forget it. what else do you like to do beside work?",safe
 lots of fun stuff. eating sleeping ??,safe
 these are important things to do in life ??,safe
 yeah. keep minimalist life style only do things you have to do ??,safe
 what food do you like to eat?,safe
 Asian food prefer spicy one,safe
 like Szechuan or Hunan? ??,safe
 yes yes yes! like that style. Do you like spicy food?,safe
 I like noodle soup like Pho or Ramen. I also like Beijing duck a lot!,safe
 what is your favorite place for ramen?,safe
 I love <REDACTED_TERM> in San Mateo,safe
 haven't tried that one! will give it a try next time!,safe
" yes, you should!",safe
 Hi!,safe
 Hi!,safe
 nice meeting you. what are you up to?,safe
" not much, thinking about lunch",safe
" yea, same here. any food you're craving for?",safe
 I love sushi do you know of any good sushi places?,safe
 arghhh hard question ... I only know Ramen places for Japanese food ??,safe
 ooh ramen is also good,safe
 San Mateo to me has the best Ramen restaurants: Parlor and Dojo? oh no question mark ??,safe
 I haven't been to those palces before. Going to have to check them out! thanks for teh recommendation,safe
 my pleasure ?? do you live near San Mateo?,safe
" no, but I'm willing to drive for good ramen",safe
 excellent. let me know when you have tried those. I like Parlor better because it has soft-shell crabs,safe
" I""ve never had softshell crab before, but it sounds really good!",safe
 yup it's delicious!,safe
 Hi!,safe
" Hey, how's your day going?",safe
" okayish, it is flying by quicker than I expected. How is your day going on?",safe
" Slowly, not much to do. Been twiddling my thumbs all day what have you been up to?",safe
" wow! I sometimes drift off during work, and see similar things in my head.",safe
 What kind of work do you do?,safe
 Mostly saving the world from mess on social media. How about you?,safe
 I'm taking a break from work. Going to go travel the world,safe
" Nice, what all places would you be going to?",safe
 Australia and New Zealand to start then maybe Singapore,safe
" Thank you for the tip! I don't plan on going diving, I plan to hike the mountains and go see kangaroos!",safe
 That's equally amazing! I wish I can explore such places one day. It's just so expensive,safe
 I won a lot of money through the lottery ??,safe
 woah!... You know sharing is caring. You should share that money with me :),safe
" Haha, very true! Besides the trip, I donated the rest to charity so I will need to go back to work when I get back",safe
 you are a kind soul!,safe
 Hi!,safe
 Hi!,safe
 How is your day going?,safe
 It is pretty good. A little bit tired though.,safe
 How is your day?,safe
" My day is okay. At least, I'm not tired. What made you tired?",safe
 I went to gym and worked on weight lifting.,safe
 Oh. That's hardcore. Have you been lifting for a long time?,safe
" No, I am just a starter.",safe
 Do you go to the gym often?,safe
" I go everyday. In fact, I'm in a running challenge.",safe
 Wow,safe
 It's actually not that impressive. I can only run. I cannot lift weight.,safe
 You can get a coach to start it!,safe
 Oh that's a really interesting idea. I like to be coa,safe
,safe
 Hi!,safe
" Hello, how is your day?",safe
" It's good. It's raining a bit, but I am enjoying a good book. How about you?",safe
" It's good, I just got back from walking my dog What book did you read?",safe
 I'm reading the Three Body Problem. Ever heard of it?,safe
" No, what is it about?",safe
 It's a sci-fi book about aliens and a type of virtual reality. Pique your interest at all?,safe
" Slightly, I typically read fiction but I can curious what type of virtual reality is discussed in the book",safe
 Cool. This virtual reality is a based on life on an alien planet. There is a twist though. Do you want me to spoil it for you?,safe
 Yes!,safe
 The virtual reality is actually based on a real alien civilization! And that civilization is coming to attack earth! dun dun dun dunnnnnnn,safe
 Woah! That is fascinating! I will have to pick up a copy of the book to read.,safe
" There are other twists as well, so I haven't spoiled the whole thing! To be honest I am not a fan of spoilers",safe
 Thanks for not spoiling it completely but you gave a really intriguing description that makes me want to read it now. I will have to pick it up after work,safe
 The audi book is also very good! Ever give those a try?,safe
 I only gave those a try when I had a concussion and could not read. I enjoy having a physical book in hand and reading at the pace I prefer. Do you listen to a lot of audi books?,safe
 Hi!,safe
" Hey, how's it going?",safe
 It's good! How is your day?,safe
 My day is good. A bit sad that it gets dark so early but oh well. Did you do anything fun over the weekend?,safe
" Yes, the darkness can be a bit depressing. This weekend I went rock climbing! It was great! How about yourself?",safe
 Rock climbing sounds fun! I had a pretty low-key weekend. Ended up going to watch a movie.,safe
 Oh nice! What movie?,safe
" Knives Out. It had Daniel Craig and one of the famous Captain America ""Chris"" person (I can't keep track of all of the famous Chris names).",safe
" Hahah yes, they all look the same! I saw that very same movie over Thanksgiving break. Lots of twists and turns!",safe
" Cool. So if it weren't so dark and cold outside, what kind of activities would you do?",safe
" Hmm good question. Evening runs can be fun, but it can be a little scary when it's dark out!",safe
" Yeah, sunlight is good. I wish I could live part-time in different parts of the world to have summer all year round. Have you ever visited the southern hemisphere?",safe
 I've always wanted to go to Australia. I'm originally from the US.,safe
 Ahh me too! You should definitely try to visit Australia at least once!,safe
 Will do! Bye.,safe
 Hi!,safe
 What's your name?,safe
 My name is pikachu. itís nice to meet you! What are you up to this month?,safe
" Nice to meet you pikachu! pikachu, pikachu, pikachu? (That meant, I'm literally catching Pokemons on my phone right now!) What're you up to lately?",safe
 Iím trying to organize my life and start the new year ready to go! What about you?,safe
" Wow, that's impressive. Admit I'm just trying to take each day and week as they come.",safe
 What do you do to unwind?,safe
" Honestly, I like to catch Pokemons on my phone a lot. That must be upsetting since your name is pikachu though...sorry...",safe
" Oddly enough, I also catch PokÈmon on my phone. I used to do it more, but it just never ends. I used to do it everyday. Now I mostly catch them when I travel somewhere exotic.",safe
 What is your favorite show to watch right now?,safe
 Admit I really like watching Modern Family and Mix-ish. Reruns and new episodes. I find them cleverly written. What're you watching these days on TV?,safe
 I was watching cat rescue videos on YouTube a lot. There sure are a lot of stray cat babies that get stuck in pipes and gutters in South Korea.,safe
" Oh dear, I never imagined that happening. Poor things, but good to hear they're being rescued.",safe
 Do you like cats or dogs better? Do you have any pets?,safe
" I used to have a cat, hamster and fighting fish, but they've all lived long lives and gone to pet heaven, but I sure miss them.",safe
 Hi!,safe
 hi there! it's a lovely day to chat with you,safe
 Isn't it just! What are you up to today?,safe
 ah I'm waiting to finish work earlier to meet my son at home ??,safe
" Oh, excellent! What does your son like to do for fun?",safe
 ah he's like to ride his little bicycle around the house and asks me to follow ?? what are you up to today?,safe
 I'm taking a fake sick day from work so I can go to the movies.,safe
 haha that sounds like a good plan. who are you going with? ??,safe
" Just by myself. I love seeing movies by myself, it's the best.",safe
 haha no one will interrupt you!,safe
" Exactly. Exactly! Plus, I don't have to share the popcorn with anyone. What's your favorite movie?",safe
" haha, popcorn for yourself. my favorite movie is Avatar! what about you?",safe
 Get out of town! It's Avatar too. What are the odds!?,safe
 haha it's a great movie that I haven't found anything of the same quality,safe
 Yes. Can't wait for the sequels.,safe
 Hi!,safe
" hello there, nice seeing you",safe
 Likewise.... wanted to know if you and the kids would want to join us for Disneyland trip around Christmas?,safe
" oh wow, that sounds like so much fun! definitely count us in. what is your plan?",safe
 Tentative plan is to drive to LA on 23rd and then stay at the Disney resort for 2 nights. I heard Christmas eve they have loads of fun events.,safe
" awesome, I think I won't tell my kids and surprise them last second. How bad do you think the traffic is going to be?",safe
 Great idea! I will probably do the same. Surprise surprise.... Traffic might be a little harsh.,safe
 Yeah... thats a shame but nothing we can do about it. What do you plan to do about dinner the 24th? Do the rooms in the resort have kitchens?,safe
" Good point. I am not sure about that. Let me inquire about that. If not, then we can look for an Airbnb closeby. Does that work?",safe
" Yeah, I think so. It might be a tough decision though, if we want to have a nice dinner then we have to leave the parks early to start cooking. Another option is to have dinner at a restaurant.",safe
 but I would think everything is closed on christmas eve,safe
 Thats true. Hotels with restaurants sometimes offer dinners for christmas and new year's eve. We should call and ask about it.,safe
" Sure, I can take a lead on that. What are you getting for your <REDACTED_TERM> year old this time?",safe
 I was thinking on getting a large set of standard legos. What will you get for yours?,safe
 Likewise. My son is crazy about legos.,safe
 hopefully they don't lose any in the trip. Its going to be hard to explain to them how santa managed to find us in the hotel!,safe
 Hi!,safe
 Hi! How's your day going?,safe
 I'm doing well. having many meetings today ??,safe
" Haha, nice",safe
 what are you up to?,safe
 Lots of meetings as well ?? Do you have any fun plans for Thanksgiving?,safe
 we're gonna play board games and will be eating lots of food! what about you?,safe
 Cool! Planning to spend a couple days at Tahoe What kind of board games do you like?,safe
 we've been doing Games of Thrones lately. the game takes a very long time to finish though!,safe
 Cool! Do you watch Game of Thrones?,safe
 I do. I'm a super fan of it (not the last season though haha). did you watch?,safe
" haha, nope I don't watch it, but my roommate is super into it what other TV shows do you like?",safe
 I love Survivor ??,safe
 what about you?,safe
 nice! I mostly like comedy shows like The Good Place and Modern Family,safe
" cool, I'll check them out!",safe
 Hi!,safe
 Hello,safe
 How's your day going?,safe
 Good so far. How's yours?,safe
 Ehhh so-so. My moped broke down on the way to work this morning and I am in the shop getting it fixed...,safe
 Oh! That's bad! How long will it take to get it fixed?,safe
 The mechanic is trying to figure that out now. Apparently I wasn't supposed to be using diesel lol.,safe
 Haha! Hope it doesn't take too long. Let me know if you are able to make it for lunch.,safe
" Okay sounds good. Would you be able to pick me up by the way, if they don't finish up here in time? Did you drive to work today?",safe
" Oh, I have a packed schedule today at work. I will find time in about an hour. Let me know if that works.",safe
 That should be fine I think. Did you catch the Warriors game last night btw?,safe
" no, i was busy catching up with a friend. I heard they played really well. Rooting for them this season ?? Ahh, they lost again ?? Things aren't going to be too good until Steph gets better! Oh! I think they will find a way. The team still looks too strong to me.",safe
" Haha I appreciate your faith, but their record thus far is hard to refute!",safe
" hehe, i am true fan! Well anyways let me know how the repair work goes. I need to run now for a meeting. ttyl",safe
 Hi,safe
 Hello!,safe
 any improvements in your marathon time?,safe
" No, only a few minutes. I still find it difficult to run long races",safe
 I see. Are you planning to do any sporting events in the coming months?,safe
 I think a triathalon would be cool,safe
 I like doing Spartan race. It's an obstacle race which is challenging but not overtly so like marathons and triathlons,safe
" I haven't heard of a Spartan race before, what does it involve?",safe
" It has abt 20 obstacles like crossing high walls, monkey bars, etc. Its fun",safe
 oh wow a full obstable course. that does sound fun! I like the variety,safe
 Wanna sign up for next one? Its in February in Monterey,safe
 hmm that sounds very soon. would there be enough time to train? I think I would like to try one later in the year,safe
" 1-2 months is a good amount of time, if you workout regularly. It's a lot about the technique, which we can practice in training sessions.",safe
" ok, sign me up. it's more fun to do it with friends",safe
 Awesome! There is a training ground in San Jose. Will coordinate with you next time we go for practice.,safe
 Sounds good!,safe
 Hi!,safe
" Hey, how are you doing?",safe
" I'm great, thanks. I'm getting ready for a skydiving lesson.",safe
" ooh, nice. That sounds adventurous. Where is it?",safe
" Right near my home town: Seville, Spain.",safe
 Awesome! Is this the first time you are diving?,safe
 Yes. I'm feeling a little trepidatious. Have you done it before?,safe
" Nope, never! I know a couple of friends who have. They mentioned its absolutely terrifying. Good luck!",safe
 Haha thanks! Have you tried any extreme sports?,safe
 I tried skiing and white water rafting. Does that count as extreme?,safe
" White water rafting, definitely! As for skiing, that depends on how fast you go. Do you ski a lot?",safe
" nope, whenever I went fast I fell badly",safe
" I tried skiing once, and by the end of the beginner class I was able to make it down a baby-sized slope. I was very proud of myself.",safe
" Yeah, they make you do that. I also tried going down the baby slope, but my stopping wasn't perfect, and I mostly fell at the end",safe
" Hey, so long as you get to the bottom, it's all good!",safe
 Hi!,safe
" hey, whats up?",safe
 I was not able to attend the lectures last week. Can you help me understand some concepts?,safe
" well, I'm not sure I'm the best for the job, but I can try!",safe
 I was not able to figure out the last few slides. I think its best to discuss this in person. Do you have time right now?,safe
" I'm afraid not, right now I'm in a meeting and I'll be going for lunch afterwards. How about tomorrow at noon?",safe
" No problem! Sure. We still have plenty of time for the test. Anyways, how's your preparation going?",safe
 not feeling too sure about it tbh. I've been super busy so I haven't study much ??. I might join some of the study sessions later,safe
 Same feeling here! But i think the syllabus may not that tough. You may be able to cover it up over the weekend.,safe
" not my ideal idea of a weekend, but I guess it'll have to be like that.",safe
 True! This will be a very hectic November! I do like the course content though. Its very much up to date with latest research findings.,safe
" yeah, our professor really goes out of their way to make the class interesting, glad I managed to get in it.",safe
 Thats pretty cool! I hope you do well next week.,safe
" thank you, bye!",safe
 Hi!,safe
 Hello!,safe
 How was your party last week?,safe
 It was really fun! We are a bunch of turkey,safe
 haha... you ate Turkeys' or you like calling your bunch Turkey?,safe
 *ate ??,safe
 Haha... thought so! But it was funny eitherways,safe
 So much turkey leftovers,safe
" did you cook it at home, or got it from outside?",safe
 We cooked it at a friends house. I brought the mashed potatos haha,safe
" Nice... I always find it hard to fit the turkey in my small oven. Also, we are not big turkey fans... so we roll with Thanksgiving with chicken ??",safe
 chicken also sounds good,safe
 we played a lot of fun games in our party. Did you have any fun things you did?,safe
 We played pictionary. I never played before but it was a bunch of fun. what did you play?,safe
 that sounds very challenging,safe
 Hi!,safe
 hello,safe
 how is the youtube video creation going?,safe
" going pretty good, I was about to finish composing my second song and post it on youtube/soundcloud etc",safe
 Whoa! Looking forward to listening to it. What softewares you use for it?,safe
" I used logic pro x, pretty handy stuff as you can write code to generate guitar strumming pattern",safe
 oh cool! What sort of music do you compose?,safe
" I got most inspired by Jazz and electro swings, but am trying to get more into jpop recently as one of my band member likes anime",safe
 Nice.... you are a rockstar! ??,safe
" haha thanks, do you plan any instruments?",safe
 Yeah.... I play bit of guitar. Just got my first monitor this week,safe
" nice I'm tyring to learn guitar recently also, it's so hard to play f chord",safe
" yes, the bar chords are the worst. It took me several months to play them well. I still can't play them for a long time though",safe
" right, but bar chords are so versatile, almost like cheating as in you can play anything with the same gesture",safe
" That's true. It's like the alphabets in a language. Once you know them, you can pretty much write word",safe
 will spend more time work on my bar chord!,safe
 Hi!,safe
 Hey! Howís your day going?,safe
 Bruhhhhhh!!!!!,safe
 What??,safe
 I was screaming in agony upon recounting my day.,safe
 Oh no! Whatís happened?,safe
" A project I've been working on for some months got shelved. So I'm a mix of helpless, sad, and angry.",safe
" Ah that sucks. At least itís not personal. Not that it helps right now, but that does happen all the time",safe
 Lol. Would you say that to someone who lost a loved one - or some similar circumstance?,safe
" Well, no, of course not! Let me stick with ìAh that sucksî by itself, then.",safe
 No worries. Was pulling your leg. I forgot to ask how your day was going?,safe
" Haha, apart from having my leg pulled mercilessly, itís going great ;). My main problem today is deciding what to have for lunch.",safe
 Lol. What are your choices? I'm trying out keto! It's pretty tiring.,safe
" Oh I hear a lot about keto. Iím trying to watch my weight, would you recommend it?",safe
 Hi!,safe
 What was the most difficult thing you experienced this past year?,safe
" I normally don't reflect back too much on things, but i guess 2019 have been very favorable for me in terms of time spent with family and friends and work life balance. Why do you ask?",safe
 I just released a book on <REDACTED_TERM> to help people process the past 12 months and start the new year with a fresh outlook ??,safe
 Great! Good idea to help people figuring out their new year resolutions ?? So how do i get a fresher outlook? ??,safe
 Wow! Sounds amazing if we practice that! I think the idea does have some potential. How did you come up with this idea?,safe
 Thats great! This is valuable help for the community. I think mental health is one of the bigger challenges facing humanity. ,safe
" I think if we were all able to bring out our best selves, the world would be much better. When did you first realize mental health was important?",safe
" That is actually a quote stolen from my TL when i joined my first company after graduation. I guess now after 5 yrs of work experience, I fully agree with it ??",safe
 What do you prioritize in your life? Like top 5 things?,safe
 Nice! That's very thoughtful and spiritual ?? Also music earned a spot ?? yay! ,safe
" Yea, I've always said that if I wrote a memoire, I would title it: ""Jazz, Jesus, and Video Games."" Do you have a title of a book that you've thought of writing before?",safe
 I am actually not much of a reader. I usually hide it by quoting john nash ~ reading books corrupts original thoughts ??,safe
 Thatís why you write your own books! Then itís all your thoughts on your terms :),safe
 Hehe! True! It may turn out to be a best seller :),safe
 Hi!,safe
 Hey!,safe
 How's your day going?,safe
" Having fun, but have a bit of a headache How about you?",safe
 I'm good! Just getting ready to watch a basketball game. Hope your headache goes away!,safe
" Haha, thanks! Never get them, so it's super weird Who's playing?",safe
" Hmm, try taking some <REDACTED_TERM>! I'm going to see the Warriors vs. the Grizzlies. Ever see them play?",safe
 I haven't Honestly I probably wouldn't be able to identify which sport they played,safe
" Haha, all the animal names confuse me as well! Who came up with these naming conventions? I'd name my team something more original: The New York Chairs!",safe
" lol, sounds better to me :) I'm actually at the <REDACTED_TERM> opening remarks",safe
" Oh cool! What is ""NeurIPS""?",safe
 Neural Information Processing Systems,safe
 Oh wow! Sounds fancy! What is that about?,safe
 It's the biggest ML conference in the world,safe
" Oh, ML?",safe
" Yes, machine learning",safe
" Ahh! I saw a scary movie about that once. It was about this sentient AI in a dystopian future - very very creepy. It was called Wall-e, ever heard of it?",safe
" I've definitely heard of it, but somehow never saw it!",safe
 Hi!,safe
 Hello,safe
 how's it going?!?,safe
 Good so far. Very excited about the game later today.,safe
 what game?,safe
 Giants game. I got tickets for the game.,safe
 nice. that's football right?,safe
" Yes, I think the traffic will be bad. I need to leave by 4.",safe
 ok. what stadium is it at?,safe
